neighborhood_municipality,individuals_tested,infections,reinfections,deaths,hospitalizations,tests,postives,ag_tests,positive_ag_tests,pcr_tests,positive_pcr_tests,update_date
Aleppo,1103,1912,152,19,28,4723,336,2358,99,2364,235,2023-04-17
Allegheny Center (Pittsburgh),1010,1414,174,5,15,2994,379,388,46,2607,333,2023-04-17
Allegheny West (Pittsburgh),350,460,70,0,5,1219,109,243,17,976,92,2023-04-17
Allentown (Pittsburgh),1470,3017,509,2,37,5488,641,1295,85,4189,555,2023-04-17
Arlington (Pittsburgh),1073,2227,347,9,34,4492,535,1046,108,3443,426,2023-04-17
Arlington Heights (Pittsburgh),150,175,14,3,4,565,44,94,12,471,32,2023-04-17
Aspinwall,2091,2519,251,1,13,6982,618,1635,151,5338,466,2023-04-17
Avalon,2973,5602,630,15,76,11337,1179,2527,249,8815,929,2023-04-17
Baldwin Borough,14462,29892,3706,76,368,54312,6758,14695,1693,39442,5050,2023-04-17
Baldwin Township,1353,2270,151,1,15,4377,624,1147,194,3231,427,2023-04-17
Banksville (Pittsburgh),3032,5309,676,21,41,11154,1223,4033,348,7126,873,2023-04-17
Bedford Dwellings (Pittsburgh),770,1290,233,6,40,2448,353,410,33,2038,320,2023-04-17
Beechview (Pittsburgh),4997,8254,845,19,94,16802,2149,3669,482,13134,1663,2023-04-17
Bell Acres,976,1064,113,6,12,2660,320,645,63,2012,256,2023-04-17
Bellevue,5182,8610,1062,11,72,17566,2016,4211,425,13315,1589,2023-04-17
Beltzhoover (Pittsburgh),1001,1820,292,6,48,3230,452,549,48,2679,403,2023-04-17
Ben Avon,1355,1523,102,4,9,3867,437,921,96,2936,340,2023-04-17
Ben Avon Heights,299,356,20,0,0,928,91,213,15,712,76,2023-04-17
Bethel Park,22868,39784,4576,103,315,80837,9140,21861,2519,58860,6571,2023-04-17
Blawnox,854,1294,154,5,18,2841,289,629,79,2205,208,2023-04-17
Bloomfield (Pittsburgh),6586,10237,1036,12,69,25726,2022,3710,347,22015,1672,2023-04-17
Bluff (Pittsburgh),12858,18493,1601,5,64,49747,2944,33269,1236,16469,1702,2023-04-17
Bon Air (Pittsburgh),496,628,43,2,13,1515,228,307,50,1209,178,2023-04-17
Brackenridge,2463,5470,738,27,87,10236,1011,2048,212,8189,798,2023-04-17
Braddock,1380,2530,433,1,48,5217,609,1167,71,4054,538,2023-04-17
Braddock Hills,1042,1750,279,5,30,3786,450,680,75,3111,374,2023-04-17
Bradford Woods,824,822,37,1,6,2173,279,453,56,1706,223,2023-04-17
Brentwood,6671,12054,1257,23,97,22949,2927,6022,708,16924,2214,2023-04-17
Bridgeville,3454,6712,655,16,56,12249,1630,3798,458,8424,1158,2023-04-17
Brighton Heights (Pittsburgh),5089,8696,1136,16,109,17990,2034,3542,337,14436,1694,2023-04-17
Brookline (Pittsburgh),8762,14395,1423,22,138,29495,3596,7711,915,21756,2672,2023-04-17
California-Kirkbride (Pittsburgh),455,841,83,3,6,1740,188,290,20,1450,168,2023-04-17
Carnegie,5476,9250,1277,11,74,18410,2274,5322,596,13083,1673,2023-04-17
Carrick (Pittsburgh),6280,10707,1401,30,144,21332,2679,5107,595,16204,2080,2023-04-17
Castle Shannon,5400,9237,1094,11,56,18999,2279,5085,635,13904,1637,2023-04-17
Central Business District (Pittsburgh),5608,6195,388,0,37,18215,1277,3548,246,14660,1025,2023-04-17
Central Lawrenceville (Pittsburgh),3679,7970,1081,21,58,16628,1079,2767,183,13822,877,2023-04-17
Central Northside (Pittsburgh),2318,3422,327,5,42,8273,814,1362,117,6910,696,2023-04-17
Central Oakland (Pittsburgh),3349,5510,261,1,7,15114,1065,1704,152,13417,910,2023-04-17
Chalfant,525,710,38,1,9,1679,180,397,41,1284,139,2023-04-17
Chartiers City (Pittsburgh),323,508,84,1,9,1083,155,217,26,864,129,2023-04-17
Chateau (Pittsburgh),253,223,60,0,1,468,43,111,4,357,39,2023-04-17
Cheswick,1043,1892,201,3,27,3777,404,1433,82,2341,322,2023-04-17
Churchill,2167,2491,188,6,29,6594,652,1489,169,5102,482,2023-04-17
Clairton,4229,7880,1037,19,130,15181,1912,3398,324,11790,1588,2023-04-17
Collier,6277,10028,1168,11,52,19976,2487,5825,702,14102,1768,2023-04-17
Coraopolis,3504,6541,994,13,53,11996,1534,4161,381,7834,1149,2023-04-17
Crafton,3904,6616,546,17,64,13452,1765,3608,428,9830,1334,2023-04-17
Crafton Heights (Pittsburgh),2578,3982,456,6,37,8000,1049,1783,192,6211,857,2023-04-17
Crawford-Roberts (Pittsburgh),1845,2815,431,12,83,6237,689,1219,69,5021,620,2023-04-17
Crescent,1489,2491,425,10,25,4654,682,1304,245,3355,435,2023-04-17
Dormont,5688,8737,1015,6,56,19135,2094,5231,498,13898,1592,2023-04-17
Dravosburg,988,2165,295,7,30,4015,457,961,112,3057,345,2023-04-17
Duquesne,3253,6574,965,26,133,11883,1579,2288,198,9599,1381,2023-04-17
Duquesne Heights (Pittsburgh),1766,3110,273,5,23,6619,776,1750,200,4854,572,2023-04-17
East Allegheny (Pittsburgh),1363,2119,258,6,35,4521,508,735,73,3785,435,2023-04-17
East Carnegie (Pittsburgh),338,696,68,2,12,1216,173,274,35,934,136,2023-04-17
East Deer,893,2315,495,1,26,3879,389,1048,92,2826,297,2023-04-17
East Hills (Pittsburgh),1761,2979,379,7,63,5805,740,1016,98,4795,642,2023-04-17
East Liberty (Pittsburgh),4851,7911,1020,38,135,17964,1679,2905,202,15047,1475,2023-04-17
East Mckeesport,1297,2172,291,6,39,3970,596,929,126,3036,468,2023-04-17
East Pittsburgh,1199,2477,455,6,45,4620,525,959,68,3665,457,2023-04-17
Edgewood,2482,3495,276,1,15,9080,649,1528,98,7548,546,2023-04-17
Edgeworth,1302,1636,325,1,1,4174,298,1105,79,3060,216,2023-04-17
Elizabeth Borough,943,1701,240,5,25,3410,477,920,112,2488,365,2023-04-17
Elizabeth Township,8412,14290,1568,41,215,27171,4090,7113,1013,20009,3071,2023-04-17
Elliott (Pittsburgh),1447,2627,245,6,36,4839,658,1159,123,3676,534,2023-04-17
Emsworth,2386,3032,280,0,19,6790,824,1727,131,5044,689,2023-04-17
Esplen (Pittsburgh),141,441,135,0,7,865,76,294,7,572,69,2023-04-17
Etna,2239,3855,593,5,36,7527,896,2013,210,5507,685,2023-04-17
Fairywood (Pittsburgh),1427,5836,1535,2,19,9025,534,970,66,8054,467,2023-04-17
Fawn,1254,2053,252,3,31,3952,515,1206,120,2746,395,2023-04-17
Findlay,3703,5162,465,9,50,10577,1502,3506,481,7051,1015,2023-04-17
Fineview (Pittsburgh),676,1108,109,4,19,2251,253,400,44,1844,209,2023-04-17
Forest Hills,4354,5891,523,8,56,14078,1488,2797,300,11288,1187,2023-04-17
Forward,1867,3326,310,12,38,6034,858,1668,250,4360,605,2023-04-17
Fox Chapel,4548,4078,298,3,31,12964,1022,3003,253,9932,765,2023-04-17
Franklin Park,10950,12211,811,27,78,31455,3307,8019,713,23362,2585,2023-04-17
Frazer,697,1316,201,2,15,2428,321,686,90,1740,229,2023-04-17
Friendship (Pittsburgh),1723,2241,216,0,8,6440,442,697,51,5738,389,2023-04-17
Garfield (Pittsburgh),2559,5352,623,20,83,10365,1000,1866,147,8502,852,2023-04-17
Glassport,2871,5713,632,15,99,10226,1363,2450,257,7781,1103,2023-04-17
Glen Hazel (Pittsburgh),891,6316,1045,25,53,10869,404,5779,35,5093,368,2023-04-17
Glen Osborne,396,674,72,0,1,1356,104,325,30,1031,74,2023-04-17
Glenfield,125,141,13,0,3,364,52,91,10,272,42,2023-04-17
Green Tree,3772,5592,492,8,52,11604,1536,3253,435,8334,1095,2023-04-17
Greenfield (Pittsburgh),5366,8602,1023,10,78,19856,1879,2942,181,16911,1698,2023-04-17
Hampton,12252,15524,1722,29,132,37180,4262,11210,1272,25836,2960,2023-04-17
